Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
374,80.37931034,74.19342041,75.42029379,76.67900881,75.19876099
375,74.83333333,72.43618774,72.41357368,74.19461139,72.54538727
376,83.55555556,72.46008301,72.92738778,75.14326646,72.99153137
377,75.33333333,76.45483398,76.99926135,79.15728068,77.12996674
378,87.5,74.89175415,75.23971932,77.15028112,75.50787354
379,89.54545455,85.97537231,85.04553662,86.58196246,85.57404327
380,76.56,80.4468689,79.94005937,81.1371914,80.09768677
381,59.19230769,73.5765686,74.51949421,75.24416559,73.75595856
382,90.49,90.55581665,89.49263171,84.5891406,88.52935791
383,80.47747748,90.75430298,88.61231088,84.66675091,88.04291534
384,43,70.52133179,70.68577431,73.53239514,70.74358368
385,90,71.51812744,71.82347088,74.70787643,71.92290497
386,79.52380952,71.22573853,70.68757805,73.96668338,70.95050049
387,75.5,71.46960449,71.6159751,73.64741235,71.68361664
388,77.93684211,75.72033691,76.94632631,81.18456578,77.63684845
389,92.14285714,90.02133179,92.09906746,89.18347105,90.99880981
390,75.61538462,72.36828613,72.79628142,74.61673385,73.16411591
391,63.12,80.79107666,81.01570591,81.65869899,78.95749664
392,76.02777778,72.00515747,71.31535804,74.10382738,70.89749146
393,81.53488372,84.83535767,83.65955634,82.66920777,85.30535126
394,87.45918367,90.35025024,93.29698253,88.44700173,91.42883301
395,74,71.74395752,72.19538348,74.37296899,72.19678497
396,82.08888889,78.92974854,78.67687672,80.56084254,79.58757782
397,84.98529412,87.11935425,87.76205276,88.14578636,87.95059967
398,77.33333333,74.61123657,75.17075244,76.00249578,75.70766449
399,76.36842105,71.84100342,72.58963071,74.41031993,72.28954315
400,79.40740741,80.60842896,80.86643618,82.39200545,79.96881866
401,80.75,77.78439331,77.78274839,79.27739776,78.37659454
402,90.91666667,75.13476563,75.08297269,76.19522747,75.58997345
403,97.03603604,107.2312927,107.2674847,88.47758284,106.1272202
404,90.86956522,83.15084839,82.52777156,83.89223122,84.06956482
405,61.63636364,70.38467407,71.23966023,73.82902084,70.8335495
406,63.42857143,71.4251709,72.18475132,74.79608664,72.16986084
407,83.33823529,85.69900513,86.62757157,83.19420667,86.87735748
408,73.96,75.59222412,76.53202057,77.23962853,76.92557526
409,80.6,81.0368042,80.42308617,81.8684453,81.71961212
410,96,73.08267212,73.34739365,75.25014043,73.46879578
411,89.7173913,86.31521606,85.14730192,85.98179533,86.20757294
412,85.01428571,84.46765137,84.05832827,84.2880743,82.536026
413,79.125,73.59353638,73.89257782,75.62917749,74.14179993
414,84.82568807,89.28067017,89.29271947,84.35540782,88.32998657
415,79.78461538,76.12136841,76.45743722,79.78435294,75.30857086
416,87.05660377,87.63821411,86.73227937,87.51457698,87.45409393
417,87.7761194,81.84390259,82.49554354,81.2276928,82.30767059
418,79.34090909,76.53540039,76.02034697,77.01659952,75.54193878
419,82.3125,72.23782349,72.00208439,74.71102169,72.35178375
420,82.86956522,81.51919556,81.08596063,81.78060059,81.53774261
421,84.66666667,86.58831787,85.48283916,83.44006447,85.7689743
422,65.5,74.93252563,74.73736699,76.75829359,75.30379486
423,77.69620253,79.49200439,80.24872493,80.95497778,78.69715118
424,82.85714286,73.46282959,73.83736527,76.33284687,74.13722992
425,81.7125,84.88473511,85.46454555,84.17362796,83.68461609
426,79.40909091,73.02328491,72.88262002,74.76349386,73.37082672
427,75.70588235,69.62832642,69.35961923,74.45806384,68.79771423
428,75.2,70.99807739,70.83043722,73.13050169,70.93045807
429,84.7628866,95.0269165,92.56425905,86.48870924,94.20609283
